country_1,country_2,p_knockout_win,p_normal_time_win,p_normal_time_draw,p_normal_time_loss
Hungary,North Macedonia,0.543,0.390,0.295,0.315
Hungary,Finland,0.552,0.396,0.299,0.305
Hungary,Slovakia,0.416,0.278,0.298,0.424
Hungary,Ukraine,0.478,0.339,0.284,0.377
Hungary,Czech Republic,0.443,0.301,0.297,0.402
Hungary,Russia,0.444,0.304,0.295,0.401
Hungary,Scotland,0.378,0.249,0.288,0.463
Hungary,Wales,0.401,0.268,0.290,0.442
Hungary,Turkey,0.410,0.281,0.280,0.440
Hungary,Sweden,0.360,0.237,0.278,0.484
Hungary,Poland,0.380,0.248,0.294,0.458
Hungary,Austria,0.392,0.265,0.281,0.455
Hungary,Switzerland,0.313,0.199,0.272,0.529
Hungary,Croatia,0.255,0.159,0.246,0.595
Hungary,Denmark,0.243,0.148,0.247,0.605
Hungary,Netherlands,0.184,0.114,0.203,0.684
Hungary,Italy,0.159,0.099,0.182,0.719
Hungary,Belgium,0.185,0.116,0.198,0.686
Hungary,Germany,0.147,0.090,0.176,0.735
Hungary,Portugal,0.162,0.101,0.183,0.716
Hungary,Spain,0.146,0.090,0.175,0.736
Hungary,England,0.151,0.095,0.172,0.733
Hungary,France,0.132,0.081,0.164,0.755
North Macedonia,Hungary,0.457,0.315,0.295,0.390
North Macedonia,Finland,0.515,0.362,0.302,0.335
North Macedonia,Slovakia,0.394,0.254,0.307,0.439
North Macedonia,Ukraine,0.428,0.289,0.295,0.415
North Macedonia,Czech Republic,0.439,0.300,0.295,0.406
North Macedonia,Russia,0.405,0.268,0.297,0.435
North Macedonia,Scotland,0.336,0.215,0.281,0.504
North Macedonia,Wales,0.376,0.243,0.297,0.460
North Macedonia,Turkey,0.352,0.234,0.271,0.495
North Macedonia,Sweden,0.315,0.191,0.295,0.515
North Macedonia,Poland,0.324,0.206,0.278,0.515
North Macedonia,Austria,0.253,0.157,0.248,0.595
North Macedonia,Switzerland,0.258,0.156,0.261,0.584
North Macedonia,Croatia,0.268,0.168,0.251,0.581
North Macedonia,Denmark,0.178,0.101,0.221,0.678
North Macedonia,Netherlands,0.157,0.092,0.193,0.715
North Macedonia,Italy,0.150,0.092,0.179,0.730
North Macedonia,Belgium,0.170,0.105,0.191,0.703
North Macedonia,Germany,0.143,0.086,0.177,0.737
North Macedonia,Portugal,0.172,0.108,0.187,0.704
North Macedonia,Spain,0.164,0.103,0.183,0.714
North Macedonia,England,0.163,0.103,0.180,0.717
North Macedonia,France,0.137,0.083,0.170,0.747
Finland,Hungary,0.448,0.305,0.299,0.396
Finland,North Macedonia,0.485,0.335,0.302,0.362
Finland,Slovakia,0.378,0.239,0.309,0.452
Finland,Ukraine,0.446,0.310,0.284,0.405
Finland,Czech Republic,0.454,0.310,0.299,0.391
Finland,Russia,0.446,0.309,0.287,0.404
Finland,Scotland,0.360,0.239,0.274,0.486
Finland,Wales,0.417,0.275,0.304,0.421
Finland,Turkey,0.365,0.242,0.279,0.479
Finland,Sweden,0.368,0.238,0.291,0.470
Finland,Poland,0.313,0.203,0.263,0.534
Finland,Austria,0.352,0.234,0.273,0.494
Finland,Switzerland,0.284,0.179,0.260,0.561
Finland,Croatia,0.283,0.177,0.261,0.561
Finland,Denmark,0.238,0.145,0.244,0.611
Finland,Netherlands,0.194,0.118,0.214,0.668
Finland,Italy,0.178,0.111,0.195,0.694
Finland,Belgium,0.190,0.121,0.199,0.681
Finland,Germany,0.165,0.102,0.186,0.711
Finland,Portugal,0.173,0.108,0.191,0.701
Finland,Spain,0.171,0.107,0.188,0.705
Finland,England,0.177,0.114,0.185,0.701
Finland,France,0.157,0.098,0.179,0.723
Slovakia,Hungary,0.584,0.424,0.298,0.278
Slovakia,North Macedonia,0.606,0.439,0.307,0.254
Slovakia,Finland,0.622,0.452,0.309,0.239
Slovakia,Ukraine,0.509,0.367,0.282,0.351
Slovakia,Czech Republic,0.528,0.375,0.300,0.325
Slovakia,Russia,0.511,0.365,0.289,0.346
Slovakia,Scotland,0.455,0.311,0.300,0.389
Slovakia,Wales,0.486,0.338,0.300,0.362
Slovakia,Turkey,0.468,0.320,0.303,0.376
Slovakia,Sweden,0.444,0.303,0.297,0.400
Slovakia,Poland,0.424,0.288,0.291,0.421
Slovakia,Austria,0.458,0.314,0.299,0.387
Slovakia,Switzerland,0.381,0.245,0.302,0.453
Slovakia,Croatia,0.378,0.240,0.307,0.453
Slovakia,Denmark,0.351,0.213,0.315,0.472
Slovakia,Netherlands,0.289,0.182,0.264,0.554
Slovakia,Italy,0.218,0.138,0.218,0.644
Slovakia,Belgium,0.223,0.142,0.218,0.640
Slovakia,Germany,0.190,0.122,0.195,0.683
Slovakia,Portugal,0.209,0.132,0.211,0.657
Slovakia,Spain,0.166,0.103,0.188,0.709
Slovakia,England,0.183,0.118,0.188,0.694
Slovakia,France,0.174,0.110,0.187,0.703
Ukraine,Hungary,0.522,0.377,0.284,0.339
Ukraine,North Macedonia,0.572,0.415,0.295,0.289
Ukraine,Finland,0.554,0.405,0.284,0.310
Ukraine,Slovakia,0.491,0.351,0.282,0.367
Ukraine,Czech Republic,0.463,0.327,0.282,0.391
Ukraine,Russia,0.530,0.382,0.289,0.329
Ukraine,Scotland,0.393,0.263,0.287,0.450
Ukraine,Wales,0.464,0.326,0.285,0.389
Ukraine,Turkey,0.474,0.335,0.285,0.381
Ukraine,Sweden,0.450,0.318,0.277,0.405
Ukraine,Poland,0.460,0.325,0.281,0.395
Ukraine,Austria,0.412,0.285,0.276,0.440
Ukraine,Switzerland,0.382,0.259,0.273,0.468
Ukraine,Croatia,0.352,0.235,0.270,0.495
Ukraine,Denmark,0.292,0.184,0.265,0.551
Ukraine,Netherlands,0.268,0.160,0.272,0.568
Ukraine,Italy,0.222,0.133,0.238,0.629
Ukraine,Belgium,0.248,0.150,0.254,0.596
Ukraine,Germany,0.188,0.115,0.208,0.677
Ukraine,Portugal,0.221,0.129,0.247,0.624
Ukraine,Spain,0.157,0.092,0.193,0.715
Ukraine,England,0.165,0.101,0.188,0.710
Ukraine,France,0.168,0.097,0.206,0.697
Czech Republic,Hungary,0.557,0.402,0.297,0.301
Czech Republic,North Macedonia,0.561,0.406,0.295,0.300
Czech Republic,Finland,0.546,0.391,0.299,0.310
Czech Republic,Slovakia,0.472,0.325,0.300,0.375
Czech Republic,Ukraine,0.537,0.391,0.282,0.327
Czech Republic,Russia,0.544,0.388,0.301,0.311
Czech Republic,Scotland,0.439,0.298,0.296,0.405
Czech Republic,Wales,0.479,0.329,0.307,0.365
Czech Republic,Turkey,0.444,0.306,0.291,0.403
Czech Republic,Sweden,0.468,0.321,0.302,0.377
Czech Republic,Poland,0.423,0.282,0.301,0.417
Czech Republic,Austria,0.418,0.276,0.305,0.419
Czech Republic,Switzerland,0.381,0.247,0.299,0.454
Czech Republic,Croatia,0.346,0.217,0.298,0.486
Czech Republic,Denmark,0.293,0.177,0.283,0.540
Czech Republic,Netherlands,0.322,0.196,0.297,0.507
Czech Republic,Italy,0.273,0.170,0.259,0.571
Czech Republic,Belgium,0.293,0.183,0.268,0.549
Czech Republic,Germany,0.192,0.119,0.205,0.676
Czech Republic,Portugal,0.242,0.145,0.253,0.602
Czech Republic,Spain,0.212,0.135,0.211,0.654
Czech Republic,England,0.186,0.119,0.192,0.689
Czech Republic,France,0.193,0.121,0.203,0.676
Russia,Hungary,0.556,0.401,0.295,0.304
Russia,North Macedonia,0.595,0.435,0.297,0.268
Russia,Finland,0.554,0.404,0.287,0.309
Russia,Slovakia,0.489,0.346,0.289,0.365
Russia,Ukraine,0.470,0.329,0.289,0.382
Russia,Czech Republic,0.456,0.311,0.301,0.388
Russia,Scotland,0.433,0.299,0.285,0.416
Russia,Wales,0.494,0.350,0.288,0.361
